School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Nevada-Las Vegas,.545,7.04,66.0,104.9,.358,.346,.535,49.1,49.6,9.9,11.5,.497,14.1,27.3,.257
New Hampshire,.250,-19.50,69.0,96.2,.268,.409,.503,47.9,46.5,8.2,6.7,.479,16.7,27.9,.177
New Mexico,.788,15.16,73.2,110.2,.372,.323,.546,52.7,52.2,12.0,14.2,.515,13.3,31.9,.255
New Mexico State,.531,1.18,67.1,103.4,.334,.375,.508,52.8,47.4,9.5,7.3,.475,13.7,33.2,.225
New Orleans,.129,-15.15,69.5,96.9,.339,.307,.493,47.7,50.1,10.4,7.1,.459,16.0,31.6,.227
Niagara,.355,-12.52,65.2,103.7,.307,.429,.558,48.3,52.2,9.4,6.5,.526,16.7,23.8,.227
Nicholls State,.606,-2.19,68.9,106.6,.329,.360,.522,50.1,43.0,11.6,10.6,.490,13.0,31.4,.226
NJIT,.194,-17.62,67.1,96.8,.271,.379,.494,48.6,43.0,7.1,9.6,.458,15.5,29.1,.198
Norfolk State,.706,-3.61,68.2,112.4,.388,.288,.577,51.8,50.3,10.1,9.1,.537,15.6,32.6,.293
North Alabama,.706,1.64,67.6,116.2,.315,.351,.550,52.3,42.4,11.2,9.8,.522,10.8,34.1,.222
North Carolina,.629,17.17,70.8,113.4,.348,.370,.575,52.1,51.0,8.3,9.7,.542,13.3,29.2,.257
North Carolina A&T,.219,-12.99,69.5,99.5,.313,.366,.497,47.6,45.3,8.9,8.0,.464,13.3,27.3,.215
North Carolina Central,.424,-12.67,70.3,110.3,.381,.347,.552,50.0,56.8,11.7,6.5,.520,15.7,37.2,.265
North Dakota,.364,-7.07,70.4,109.8,.328,.402,.533,51.9,45.1,8.1,6.9,.500,13.6,34.1,.232
North Dakota State,.656,1.44,66.4,120.2,.334,.523,.613,51.3,55.1,5.4,4.9,.581,13.6,28.2,.259
North Florida,.469,-7.99,73.2,111.9,.243,.540,.559,47.1,55.2,8.5,7.1,.540,13.1,28.7,.167
North Texas,.750,7.85,61.1,111.5,.367,.373,.562,53.3,45.5,12.5,8.0,.518,14.6,33.5,.284
Northeastern,.531,-4.33,67.1,104.4,.280,.348,.536,50.1,49.7,11.3,12.6,.511,16.0,31.4,.193
Northern Arizona,.545,-6.02,68.1,111.4,.296,.378,.542,54.0,53.5,8.9,4.4,.521,12.7,32.7,.195
Northern Colorado,.735,1.61,68.8,116.3,.332,.388,.608,53.3,54.1,8.8,6.3,.584,14.1,26.1,.241
Northern Illinois,.194,-16.44,70.9,98.9,.302,.479,.522,44.4,51.3,8.5,9.9,.490,14.4,19.5,.213
Northern Iowa,.625,5.37,65.5,112.0,.352,.355,.581,51.5,52.2,9.0,9.3,.555,14.2,26.4,.246
